Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
assessment_unit:apush-historical-thinking-and-sourcing,capability:H6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-historical-thinking-and-sourcing,capability:A1,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-historical-thinking-and-sourcing,capability:A2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-united-states-history-overlay,assessment_unit:apush-periodization-and-change-over-time,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apush-periodization-and-change-over-time,capability:H1,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-periodization-and-change-over-time,capability:H2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-periodization-and-change-over-time,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-periodization-and-change-over-time,capability:H5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apush-periodization-and-change-over-time,capability:H6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-united-states-history-overlay,assessment_unit:apush-government-society-and-public-life,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,partially_covered,assessment_unit,,,,
assessment_unit:apush-government-society-and-public-life,capability:C2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-government-society-and-public-life,capability:C3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-government-society-and-public-life,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-government-society-and-public-life,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-government-society-and-public-life,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-government-society-and-public-life,capability:H4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
overlay:ap-united-states-history-overlay,assessment_unit:apush-economy-geography-and-reform,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,partially_covered,assessment_unit,,,,
assessment_unit:apush-economy-geography-and-reform,capability:G3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:G4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:G5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:E3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:E4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:H3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
assessment_unit:apush-economy-geography-and-reform,capability:H5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,partially_covered,assessment_mapping,,,,
overlay:ap-world-history-modern-overlay,assessment_unit:apwh-historical-thinking-and-comparison,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apwh-historical-thinking-and-comparison,capability:Q4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
