:START_ID(CapabilityNode),:END_ID(CapabilityNode),:TYPE,domain,graph_id
K3,S1,DEPENDS_ON,mathematics,master_knowledge_graph
K4,K2,DEPENDS_ON,mathematics,master_knowledge_graph
K4,K3,DEPENDS_ON,mathematics,master_knowledge_graph
K4,A2,DEPENDS_ON,mathematics,master_knowledge_graph
K5,K3,DEPENDS_ON,mathematics,master_knowledge_graph
K5,K4,DEPENDS_ON,mathematics,master_knowledge_graph
K5,A5,DEPENDS_ON,mathematics,master_knowledge_graph
K6,K4,DEPENDS_ON,mathematics,master_knowledge_graph
K6,K5,DEPENDS_ON,mathematics,master_knowledge_graph
K6,A3,DEPENDS_ON,mathematics,master_knowledge_graph
K7,A2,DEPENDS_ON,mathematics,master_knowledge_graph
K7,K2,DEPENDS_ON,mathematics,master_knowledge_graph
K7,T1,DEPENDS_ON,mathematics,master_knowledge_graph
H1,A4,DEPENDS_ON,mathematics,master_knowledge_graph
H1,G5,DEPENDS_ON,mathematics,master_knowledge_graph
H1,G6,DEPENDS_ON,mathematics,master_knowledge_graph
H2,H1,DEPENDS_ON,mathematics,master_knowledge_graph
H2,Q3,DEPENDS_ON,mathematics,master_knowledge_graph
H2,G7,DEPENDS_ON,mathematics,master_knowledge_graph
H3,H2,DEPENDS_ON,mathematics,master_knowledge_graph
H3,A2,DEPENDS_ON,mathematics,master_knowledge_graph
H3,P4,DEPENDS_ON,mathematics,master_knowledge_graph
H4,H2,DEPENDS_ON,mathematics,master_knowledge_graph
H4,G7,DEPENDS_ON,mathematics,master_knowledge_graph
H4,Q3,DEPENDS_ON,mathematics,master_knowledge_graph
H5,H2,DEPENDS_ON,mathematics,master_knowledge_graph
H5,A4,DEPENDS_ON,mathematics,master_knowledge_graph
H5,M14,DEPENDS_ON,mathematics,master_knowledge_graph
W1,D6,DEPENDS_ON,mathematics,master_knowledge_graph
W1,Y4,DEPENDS_ON,mathematics,master_knowledge_graph
W1,V2,DEPENDS_ON,mathematics,master_knowledge_graph
W2,W1,DEPENDS_ON,mathematics,master_knowledge_graph
W2,A5,DEPENDS_ON,mathematics,master_knowledge_graph
W3,W1,DEPENDS_ON,mathematics,master_knowledge_graph
W3,D5,DEPENDS_ON,mathematics,master_knowledge_graph
W4,D6,DEPENDS_ON,mathematics,master_knowledge_graph
W4,F2,DEPENDS_ON,mathematics,master_knowledge_graph
W4,Q1,DEPENDS_ON,mathematics,master_knowledge_graph
W5,W1,DEPENDS_ON,mathematics,master_knowledge_graph
W5,W4,DEPENDS_ON,mathematics,master_knowledge_graph
