:START_ID(Entity),:END_ID(Entity),:TYPE,domain,source_layer,mapping_status,relationship_type,artifact_type,purpose,decision_type,rule_id
capability:C5D,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C5D,capability:C5C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C5C,capability:C5D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C6,capability:C5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C5,capability:C6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6,capability:E5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E5,capability:C6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6,capability:Q6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q6,capability:C6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6A,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C6B,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C6B,capability:C6A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C6A,capability:C6B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6C,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C6C,capability:C6B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C6B,capability:C6C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:C6D,family:c,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:C6D,capability:C6C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C6C,capability:C6D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E1,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E1,capability:Q1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q1,capability:E1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E1A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E1B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E1B,capability:E1A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E1A,capability:E1B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E1C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E1C,capability:E1B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E1B,capability:E1C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E2,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E2,capability:E1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E1,capability:E2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E2,capability:Q2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q2,capability:E2,UNLOCKS,social_studies,capability_topology,,,,,,
